%Time, Value
12:51:27, -223
12:51:27, -188
12:51:27, -191
12:51:27, -233
12:51:27, -273
12:51:27, -263
12:51:27, -203
12:51:27, -138
12:51:27, -111
12:51:27, -108
12:51:27, -89.7
12:51:27, -61.9
12:51:27, -73.4
12:51:27, -129
12:51:27, -173
12:51:27, -181
12:51:27, -189
12:51:27, -217
12:51:27, -216
12:51:27, -156
12:51:27, -76
12:51:27, -35.3
12:51:27, -29.2
12:51:27, -6.44
12:51:27, 44.5
12:51:27, 69.9
12:51:27, 35.6
12:51:27, 4.11
12:51:27, 73.2
12:51:27, 248
12:51:27, 434
12:51:27, 549
12:51:27, 577
12:51:27, 540
12:51:27, 476
12:51:27, 436
12:51:27, 453
12:51:27, 523
12:51:27, 607
12:51:27, 646
12:51:27, 591
12:51:27, 454
12:51:27, 307
12:51:27, 216
12:51:27, 187
12:51:27, 178
12:51:27, 146
12:51:27, 78.2
12:51:27, -10.2
12:51:27, -92.7
12:51:27, -151
12:51:27, -178
12:51:27, -176
12:51:27, -150
12:51:27, -117
12:51:27, -101
12:51:27, -130
12:51:27, -190
12:51:27, -222
12:51:27, -193
12:51:27, -154
12:51:27, -171
12:51:27, -209
12:51:27, -170
12:51:27, -57.4
12:51:27, 66.6
12:51:27, 127
12:51:27, 143
12:51:27, 139
12:51:27, 102
12:51:27, 38.5
12:51:27, 1.99
12:51:27, 15.4
12:51:27, 33.9
12:51:27, 23.4
12:51:27, 10.2
12:51:27, 23.1
12:51:27, 46.5
12:51:27, 56.4
12:51:27, 56.1
12:51:27, 56.9
12:51:27, 57
12:51:27, 53
12:51:27, 49
12:51:27, 40.5
12:51:27, 11.7
12:51:27, -36.5
12:51:27, -78.9
12:51:27, -99
12:51:27, -102
12:51:27, -99.1
12:51:27, -105
12:51:27, -127
12:51:27, -144
12:51:27, -133
12:51:27, -98.4
12:51:27, -38
12:51:27, 112
12:51:27, 391
12:51:27, 668
12:51:27, 736
12:51:27, 584
12:51:27, 429
12:51:27, 453
12:51:27, 603
12:51:27, 712
12:51:27, 704
