%Time, Value
12:53:06, 283
12:53:06, 265
12:53:06, 257
12:53:06, 244
12:53:06, 228
12:53:06, 225
12:53:06, 232
12:53:06, 259
12:53:06, 278
12:53:06, 274
12:53:06, 267
12:53:06, 264
12:53:06, 267
12:53:06, 282
12:53:06, 283
12:53:06, 283
12:53:06, 331
12:53:06, 506
12:53:06, 756
12:53:06, 937
12:53:06, 1.02e+003
12:53:06, 1.05e+003
12:53:06, 1.08e+003
12:53:06, 1.14e+003
12:53:06, 1.22e+003
12:53:06, 1.24e+003
12:53:06, 1.19e+003
12:53:06, 1.1e+003
12:53:06, 1.01e+003
12:53:06, 933
12:53:06, 871
12:53:06, 832
12:53:06, 796
12:53:06, 769
12:53:06, 759
12:53:06, 761
12:53:06, 748
12:53:06, 707
12:53:06, 647
12:53:06, 584
12:53:06, 522
12:53:06, 469
12:53:06, 416
12:53:06, 374
12:53:06, 370
12:53:06, 363
12:53:06, 307
12:53:06, 230
12:53:06, 196
12:53:06, 209
12:53:06, 227
12:53:06, 218
12:53:06, 189
12:53:06, 165
12:53:06, 141
12:53:06, 136
12:53:06, 146
12:53:06, 145
12:53:06, 113
12:53:06, 70
12:53:06, 27
12:53:06, -18
12:53:06, -57
12:53:06, -62
12:53:06, -28
12:53:06, -1
12:53:06, -7
12:53:06, -51
12:53:06, -108
12:53:06, -134
12:53:06, -117
12:53:06, -92
12:53:06, -76
12:53:06, -75
12:53:06, -81
12:53:06, -84
12:53:06, -77
12:53:06, -89
12:53:06, -89
12:53:06, -72
12:53:06, -59
12:53:06, -74
12:53:06, -103
12:53:06, -124
12:53:06, -140
12:53:06, -141
12:53:06, -124
12:53:06, -119
12:53:06, -131
12:53:06, -134
12:53:06, -135
12:53:06, -163
12:53:06, -182
12:53:06, -177
12:53:06, -168
12:53:06, -164
12:53:06, -157
12:53:06, -164
12:53:06, -169
12:53:06, -172
12:53:06, -167
12:53:06, -161
12:53:06, -165
12:53:06, -199
12:53:06, -246
12:53:06, -311
12:53:06, -407
12:53:06, -541
12:53:06, -664
12:53:06, -745
12:53:06, -809
12:53:06, -866
12:53:06, -909
12:53:06, -957
12:53:06, -998
12:53:06, -1.01e+003
12:53:06, -969
12:53:06, -906
12:53:06, -859
12:53:06, -826
12:53:06, -797
12:53:06, -780
12:53:06, -778
12:53:06, -758
12:53:06, -711
12:53:06, -684
12:53:06, -662
12:53:06, -617
12:53:06, -565
12:53:06, -537
12:53:06, -532
12:53:06, -519
12:53:06, -483
12:53:06, -435
12:53:06, -404
12:53:06, -398
12:53:06, -386
12:53:06, -345
12:53:06, -294
12:53:06, -242
12:53:06, -216
12:53:06, -216
12:53:06, -217
12:53:06, -212
12:53:06, -185
12:53:06, -132
12:53:06, -89
12:53:06, -91
12:53:06, -116
12:53:06, -136
12:53:06, -150
12:53:06, -131
12:53:06, -92
12:53:06, -65
12:53:06, -39
12:53:06, -27
12:53:06, -22
12:53:06, -12
12:53:06, 4
12:53:06, 35
12:53:06, 60
12:53:06, 83
12:53:06, 104
12:53:06, 98
12:53:06, 75
12:53:06, 68
12:53:06, 85
12:53:06, 109
12:53:07, 115
12:53:07, 103
12:53:07, 105
12:53:07, 108
12:53:07, 128
12:53:07, 162
12:53:07, 182
12:53:07, 168
12:53:07, 128
12:53:07, 120
12:53:07, 149
12:53:07, 187
12:53:07, 214
12:53:07, 212
12:53:07, 215
12:53:07, 226
12:53:07, 218
12:53:07, 218
12:53:07, 215
12:53:07, 208
12:53:07, 216
12:53:07, 212
12:53:07, 180
12:53:07, 151
12:53:07, 149
12:53:07, 156
12:53:07, 153
12:53:07, 149
12:53:07, 172
12:53:07, 193
12:53:07, 196
12:53:07, 198
12:53:07, 196
12:53:07, 196
12:53:07, 199
12:53:07, 177
12:53:07, 163
12:53:07, 166
12:53:07, 167
12:53:07, 162
12:53:07, 160
12:53:07, 151
12:53:07, 145
12:53:07, 148
12:53:07, 152
12:53:07, 153
12:53:07, 164
12:53:07, 162
12:53:07, 153
12:53:07, 155
12:53:07, 164
12:53:07, 153
12:53:07, 145
12:53:07, 136
12:53:07, 144
12:53:07, 170
12:53:07, 197
12:53:07, 198
12:53:07, 185
12:53:07, 185
12:53:07, 212
12:53:07, 234
12:53:07, 215
12:53:07, 179
12:53:07, 164
12:53:07, 164
12:53:07, 150
12:53:07, 141
12:53:07, 151
12:53:07, 161
12:53:07, 179
12:53:07, 198
12:53:07, 194
12:53:07, 184
12:53:07, 188
12:53:07, 194
12:53:07, 166
12:53:07, 152
12:53:07, 186
12:53:07, 243
12:53:07, 253
12:53:07, 218
12:53:07, 168
12:53:07, 138
12:53:07, 138
12:53:07, 153
12:53:07, 165
12:53:07, 173
12:53:07, 199
12:53:07, 201
12:53:07, 179
12:53:07, 161
12:53:07, 146
12:53:07, 151
12:53:07, 177
12:53:07, 199
12:53:07, 208
12:53:07, 193
12:53:07, 168
12:53:07, 147
12:53:07, 146
12:53:07, 163
12:53:07, 180
12:53:07, 187
12:53:07, 189
12:53:07, 194
12:53:07, 195
12:53:07, 200
12:53:07, 217
12:53:07, 221
12:53:07, 211
12:53:07, 189
12:53:07, 197
12:53:07, 242
12:53:07, 253
12:53:07, 213
12:53:07, 169
12:53:07, 162
12:53:07, 161
12:53:07, 145
12:53:07, 116
12:53:07, 115
12:53:07, 113
12:53:07, 102
12:53:07, 97
12:53:07, 98
12:53:07, 117
12:53:07, 147
12:53:07, 152
12:53:07, 134
12:53:07, 101
12:53:07, 83
12:53:07, 100
12:53:07, 120
12:53:07, 123
12:53:07, 120
12:53:07, 105
12:53:07, 92
12:53:07, 82
12:53:07, 81
12:53:07, 87
12:53:07, 90
12:53:07, 84
12:53:07, 70
12:53:07, 66
12:53:07, 59
12:53:07, 49
12:53:07, 50
12:53:07, 50
12:53:07, 42
12:53:07, 45
12:53:07, 51
12:53:07, 40
12:53:07, 26
12:53:07, 17
12:53:07, 23
12:53:07, 33
12:53:07, 22
12:53:07, 13
12:53:07, 11
12:53:07, 3
12:53:07, 0
12:53:07, 16
12:53:07, 32
12:53:07, 49
12:53:07, 58
12:53:07, 43
12:53:07, 27
12:53:07, 56
12:53:07, 92
12:53:07, 106
12:53:07, 103
12:53:07, 76
12:53:07, 34
12:53:07, 7
12:53:07, 21
12:53:07, 33
12:53:07, 34
12:53:07, 37
12:53:07, 52
12:53:07, 80
12:53:07, 85
12:53:07, 43
12:53:07, 5
12:53:07, 22
12:53:07, 76
12:53:07, 100
12:53:07, 71
12:53:07, 41
12:53:07, 38
12:53:07, 52
12:53:07, 64
12:53:07, 85
12:53:07, 92
12:53:07, 83
12:53:07, 66
12:53:07, 43
12:53:07, 24
12:53:07, 21
12:53:07, 28
12:53:07, 32
12:53:07, 36
12:53:07, 48
12:53:07, 43
12:53:07, 55
12:53:07, 69
12:53:07, 59
12:53:07, 37
12:53:07, 25
12:53:07, 36
12:53:07, 32
12:53:07, 24
12:53:07, 38
12:53:07, 42
12:53:07, 2
12:53:07, -25
12:53:07, 6
12:53:07, 65
12:53:07, 93
12:53:07, 90
12:53:07, 70
12:53:07, 70
12:53:07, 99
12:53:07, 115
12:53:07, 119
12:53:07, 113
12:53:07, 80
12:53:07, 26
12:53:07, -3
12:53:07, -14
12:53:07, -10
12:53:07, -1
12:53:07, 2
12:53:07, -9
12:53:07, -18
12:53:07, -19
12:53:07, 6
12:53:07, 39
12:53:07, 52
12:53:07, 36
12:53:07, 6
12:53:07, -4
12:53:07, -12
12:53:07, -20
12:53:07, -4
12:53:07, 29
12:53:07, 27
12:53:07, 12
12:53:07, -3
12:53:07, -9
12:53:07, 12
12:53:07, 35
12:53:07, 40
12:53:07, 42
12:53:07, 27
12:53:07, 21
12:53:07, 9
12:53:07, -2
12:53:07, -17
12:53:07, -22
12:53:07, -2
12:53:07, 16
12:53:07, 3
12:53:07, -20
12:53:07, -30
12:53:07, -29
12:53:07, -27
12:53:07, 0
12:53:07, 51
12:53:07, 42
12:53:07, 2
12:53:07, -6
12:53:07, 3
12:53:07, 20
12:53:07, 40
12:53:07, 19
12:53:07, -26
12:53:07, -49
12:53:07, -40
12:53:07, -8
12:53:07, 6
12:53:07, 9
12:53:07, -17
12:53:07, -51
12:53:07, -55
12:53:07, -6
12:53:07, 19
12:53:07, 3
12:53:07, 17
12:53:07, 52
12:53:07, 40
12:53:07, 20
12:53:07, 35
12:53:07, 38
12:53:07, -10
12:53:07, -34
12:53:07, -14
12:53:07, -12
12:53:07, -11
12:53:07, -69
12:53:07, -138
12:53:07, -145
12:53:07, -139
12:53:07, -178
12:53:07, -277
12:53:07, -408
12:53:07, -507
12:53:07, -570
12:53:07, -589
12:53:07, -565
12:53:07, -564
12:53:07, -630
12:53:07, -682
12:53:07, -646
12:53:07, -565
12:53:07, -493
12:53:07, -452
12:53:07, -461
12:53:07, -454
12:53:07, -420
12:53:07, -411
12:53:07, -449
12:53:07, -483
12:53:07, -458
12:53:07, -397
12:53:07, -371
12:53:07, -377
12:53:07, -347
12:53:07, -293
12:53:07, -251
12:53:07, -241
12:53:07, -241
12:53:07, -242
12:53:07, -189
12:53:07, -146
12:53:07, -171
12:53:07, -237
12:53:07, -262
12:53:07, -209
12:53:07, -140
12:53:07, -104
12:53:07, -88
12:53:07, -103
12:53:07, -121
12:53:07, -97
12:53:07, -28
12:53:07, -6
12:53:07, -51
12:53:07, -98
12:53:07, -72
12:53:07, -1
12:53:07, 32
12:53:07, 19
12:53:07, 6
12:53:07, 48
12:53:07, 101
12:53:07, 87
12:53:07, 45
12:53:07, 38
12:53:07, 72
12:53:07, 86
12:53:07, 72
12:53:07, 48
12:53:07, 25
12:53:07, 26
12:53:07, 56
12:53:07, 100
12:53:07, 248
12:53:07, 566
12:53:07, 851
12:53:07, 948
12:53:07, 941
12:53:07, 981
12:53:07, 1.08e+003
12:53:07, 1.18e+003
12:53:07, 1.22e+003
12:53:07, 1.19e+003
12:53:07, 1.13e+003
12:53:07, 1.05e+003
12:53:07, 921
12:53:07, 793
12:53:07, 732
12:53:07, 747
12:53:07, 774
12:53:07, 755
12:53:07, 713
12:53:07, 675
12:53:07, 636
12:53:07, 581
12:53:07, 500
12:53:07, 417
12:53:07, 378
12:53:07, 392
12:53:07, 406
12:53:07, 384
12:53:07, 359
12:53:07, 328
12:53:07, 276
12:53:07, 241
12:53:07, 247
12:53:07, 260
12:53:07, 251
12:53:07, 220
12:53:07, 147
12:53:07, 76
12:53:07, 80
12:53:07, 129
12:53:07, 138
12:53:07, 86
12:53:07, 37
12:53:07, 24
12:53:07, 29
12:53:07, 5
12:53:07, -43
12:53:07, -74
12:53:07, -84
12:53:07, -98
12:53:07, -56
12:53:07, -2
12:53:07, 9
12:53:07, -20
12:53:07, -39
12:53:07, -27
12:53:07, -22
12:53:07, -22
12:53:07, -41
12:53:07, -61
12:53:07, -62
12:53:07, -51
12:53:07, -52
12:53:07, -69
12:53:07, -75
12:53:07, -77
12:53:07, -99
12:53:07, -69
12:53:07, -11
12:53:07, -7
12:53:07, -93
12:53:07, -190
12:53:07, -195
12:53:07, -136
12:53:07, -93
12:53:07, -113
12:53:07, -126
12:53:07, -115
12:53:07, -99
12:53:07, -77
12:53:07, -86
12:53:07, -104
12:53:07, -134
12:53:07, -146
12:53:07, -117
12:53:07, -92
12:53:07, -125
12:53:07, -164
12:53:07, -166
12:53:07, -133
12:53:07, -108
12:53:07, -118
12:53:07, -129
12:53:07, -140
12:53:07, -136
12:53:07, -122
12:53:07, -131
12:53:07, -153
12:53:07, -140
12:53:07, -118
12:53:07, -86
12:53:07, -87
12:53:07, -114
12:53:07, -129
12:53:07, -136
12:53:07, -136
12:53:07, -145
12:53:07, -181
12:53:07, -213
12:53:07, -199
12:53:07, -147
12:53:07, -109
12:53:07, -122
12:53:07, -124
12:53:07, -101
12:53:07, -59
12:53:07, -65
12:53:07, -97
12:53:07, -104
12:53:07, -73
12:53:07, -44
12:53:07, -54
12:53:07, -94
12:53:07, -118
12:53:07, -119
12:53:07, -100
12:53:07, -60
12:53:07, -21
12:53:07, -39
12:53:07, -83
12:53:07, -83
12:53:07, -65
12:53:07, -26
12:53:07, -13
12:53:07, -30
12:53:07, -54
12:53:07, -68
12:53:07, -85
12:53:07, -101
12:53:07, -66
12:53:07, 2
12:53:07, 8
12:53:07, -41
12:53:07, -61
12:53:07, -36
12:53:07, 1
12:53:07, 20
12:53:07, 26
12:53:07, 28
12:53:07, 32
12:53:07, 25
12:53:07, -1
12:53:07, -11
12:53:07, -7
12:53:08, -8
12:53:08, -36
12:53:08, -68
12:53:08, -90
12:53:08, -105
12:53:08, -66
12:53:08, -26
12:53:08, -21
12:53:08, -22
12:53:08, -6
12:53:08, 11
12:53:08, 21
12:53:08, 23
12:53:08, 42
12:53:08, 53
12:53:08, 39
12:53:08, 25
12:53:08, 28
12:53:08, 17
12:53:08, -4
12:53:08, -3
12:53:08, 34
12:53:08, 49
12:53:08, 34
12:53:08, -3
12:53:08, -34
12:53:08, -33
12:53:08, 0
12:53:08, 20
12:53:08, 3
12:53:08, 17
12:53:08, 57
12:53:08, 76
12:53:08, 97
12:53:08, 106
12:53:08, 102
12:53:08, 108
12:53:08, 112
12:53:08, 97
12:53:08, 98
12:53:08, 87
12:53:08, 75
12:53:08, 53
12:53:08, 55
12:53:08, 99
12:53:08, 107
12:53:08, 87
12:53:08, 68
12:53:08, 58
12:53:08, 39
12:53:08, 35
12:53:08, 67
12:53:08, 101
12:53:08, 91
12:53:08, 76
12:53:08, 76
12:53:08, 87
12:53:08, 97
12:53:08, 97
12:53:08, 116
12:53:08, 131
12:53:08, 122
12:53:08, 107
12:53:08, 91
12:53:08, 120
12:53:08, 163
12:53:08, 172
12:53:08, 162
12:53:08, 157
12:53:08, 170
12:53:08, 162
12:53:08, 151
12:53:08, 171
12:53:08, 185
12:53:08, 171
12:53:08, 172
12:53:08, 161
12:53:08, 157
12:53:08, 180
12:53:08, 189
12:53:08, 180
12:53:08, 160
12:53:08, 146
12:53:08, 162
12:53:08, 169
12:53:08, 155
12:53:08, 131
12:53:08, 115
12:53:08, 96
12:53:08, 48
12:53:08, -6
12:53:08, -5
12:53:08, 4
12:53:08, -18
12:53:08, -43
12:53:08, -59
12:53:08, -49
12:53:08, -26
12:53:08, -7
12:53:08, -11
12:53:08, -51
12:53:08, -60
12:53:08, -58
12:53:08, -57
12:53:08, -77
12:53:08, -117
12:53:08, -141
12:53:08, -97
12:53:08, -10
12:53:08, 28
12:53:08, 26
12:53:08, 6
12:53:08, -5
12:53:08, -3
12:53:08, -5
12:53:08, 2
12:53:08, 17
12:53:08, 40
12:53:08, 51
12:53:08, 37
12:53:08, 20
12:53:08, 21
12:53:08, 48
12:53:08, 56
12:53:08, 65
12:53:08, 66
12:53:08, 61
12:53:08, 51
12:53:08, 29
12:53:08, 1
12:53:08, -12
12:53:08, 7
12:53:08, 45
12:53:08, 81
12:53:08, 82
12:53:08, 76
12:53:08, 75
12:53:08, 98
12:53:08, 106
